"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","disease state:ch1","tissue:ch1","group"
"GSM1555085","endometrial cancer tissue/cells (A109_ME27)","GSM1555085","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555085/suppl/GSM1555085_ec_A109_ME27_HG-U133A_2_.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555086","endometrial cancer tissue/cells (A124_E12)","GSM1555086","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555086/suppl/GSM1555086_ec_A124_E12.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555087","endometrial cancer tissue/cells (D243_ME15)","GSM1555087","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555087/suppl/GSM1555087_ec_D243_ME15_HG-U133A_2_.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555088","endometrial cancer tissue/cells (D244_ME16)","GSM1555088","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555088/suppl/GSM1555088_ec_D244_ME16_HG-U133A_2_.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555089","endometrial cancer tissue/cells (D245_ME20)","GSM1555089","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555089/suppl/GSM1555089_ec_D245_ME20_HG-U133A_2_.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555090","endometrial cancer tissue/cells (D246_ME19)","GSM1555090","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555090/suppl/GSM1555090_ec_D246_ME19_HG-U133A_2_.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555091","endometrial cancer tissue/cells (T68_E1)","GSM1555091","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","endometrial cancer tissue/cells","Homo sapiens","tissue: endometrium","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from endometrial carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555091/suppl/GSM1555091_ec_T68_E1.CEL.gz","22277","carcinoma","endometrium","cancer"
"GSM1555092","normal endometrial tissue/cells (A104_EN7)","GSM1555092","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal endometrial tissue/cells","Homo sapiens","tissue: endometrium","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal endometrial tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555092/suppl/GSM1555092_en_A104_EN7.CEL.gz","22277","normal","endometrium","normal"
"GSM1555093","normal endometrial tissue/cells (A110_EN11)","GSM1555093","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal endometrial tissue/cells","Homo sapiens","tissue: endometrium","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal endometrial tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555093/suppl/GSM1555093_en_A110_EN11.CEL.gz","22277","normal","endometrium","normal"
"GSM1555094","normal endometrial tissue/cells (D247_MEN6)","GSM1555094","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal endometrial tissue/cells","Homo sapiens","tissue: endometrium","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal endometrial tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555094/suppl/GSM1555094_en_D247_MEN6_HG-U133A_2_.CEL.gz","22277","normal","endometrium","normal"
"GSM1555095","normal endometrial tissue/cells (D248_MEN10)","GSM1555095","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal endometrial tissue/cells","Homo sapiens","tissue: endometrium","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal endometrial tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555095/suppl/GSM1555095_en_D248_MEN10_HG-U133A_2_.CEL.gz","22277","normal","endometrium","normal"
"GSM1555096","normal endometrial tissue/cells (D249_MEN12)","GSM1555096","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal endometrial tissue/cells","Homo sapiens","tissue: endometrium","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal endometrial tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555096/suppl/GSM1555096_en_D249_MEN12_HG-U133A_2_.CEL.gz","22277","normal","endometrium","normal"
"GSM1555097","vulvar cancer tissue/cells (A105_V21)","GSM1555097","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","vulvar cancer tissue/cells","Homo sapiens","tissue: vulvar","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from vulvar carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555097/suppl/GSM1555097_vc_A105_V21.CEL.gz","22277","carcinoma","vulvar","cancer"
"GSM1555098","vulvar cancer tissue/cells (A111_V34)","GSM1555098","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","vulvar cancer tissue/cells","Homo sapiens","tissue: vulvar","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from vulvar carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555098/suppl/GSM1555098_vc_A111_V34.CEL.gz","22277","carcinoma","vulvar","cancer"
